DEP_TIME,Airline,Destination,Distance,Flight_DATE,Flight_NUM,ORIGIN,Bad_Weather,DAY_WEEK,Flight Status
1455,OH,JFK,184,1/1/2004,5935,BWI,0,4,ontime
1640,DH,JFK,213,1/1/2004,6155,DCA,0,4,ontime
1245,DH,LGA,229,1/1/2004,7208,IAD,0,4,ontime
1715,DH,LGA,229,1/1/2004,7215,IAD,0,4,ontime
1039,DH,LGA,229,1/1/2004,7792,IAD,0,4,ontime
840,DH,JFK,228,1/1/2004,7800,IAD,0,4,ontime
1240,DH,JFK,228,1/1/2004,7806,IAD,0,4,ontime
1645,DH,JFK,228,1/1/2004,7810,IAD,0,4,ontime
1715,DH,JFK,228,1/1/2004,7812,IAD,0,4,ontime
2120,DH,JFK,228,1/1/2004,7814,IAD,0,4,ontime
2120,DH,LGA,229,1/1/2004,7924,IAD,0,4,ontime
1455,DL,JFK,213,1/1/2004,746,DCA,0,4,ontime
930,DL,LGA,214,1/1/2004,1746,DCA,0,4,ontime
1230,DL,LGA,214,1/1/2004,1752,DCA,0,4,ontime
1430,DL,LGA,214,1/1/2004,1756,DCA,0,4,ontime
1730,DL,LGA,214,1/1/2004,1762,DCA,0,4,ontime
2030,DL,LGA,214,1/1/2004,1768,DCA,0,4,ontime
1530,MQ,JFK,213,1/1/2004,4752,DCA,0,4,ontime
600,MQ,JFK,213,1/1/2004,4760,DCA,0,4,ontime
1830,MQ,JFK,213,1/1/2004,4784,DCA,0,4,ontime
900,MQ,LGA,214,1/1/2004,4956,DCA,0,4,ontime
1300,MQ,LGA,214,1/1/2004,4964,DCA,0,4,ontime
1400,MQ,LGA,214,1/1/2004,4966,DCA,0,4,ontime
1500,MQ,LGA,214,1/1/2004,4968,DCA,0,4,ontime
1900,MQ,LGA,214,1/1/2004,4976,DCA,0,4,ontime
850,UA,LGA,229,1/1/2004,846,IAD,0,4,ontime
900,US,LGA,214,1/1/2004,2164,DCA,0,4,ontime
1100,US,LGA,214,1/1/2004,2168,DCA,0,4,ontime
1300,US,LGA,214,1/1/2004,2172,DCA,0,4,ontime
1500,US,LGA,214,1/1/2004,2176,DCA,0,4,ontime
1700,US,LGA,214,1/1/2004,2180,DCA,0,4,ontime
2100,US,LGA,214,1/1/2004,2188,DCA,0,4,ontime
1455,RU,EWR,169,1/1/2004,2403,BWI,0,4,ontime
1720,RU,EWR,169,1/1/2004,2675,BWI,0,4,ontime
1030,RU,EWR,169,1/1/2004,2303,BWI,0,4,ontime
700,RU,EWR,169,1/1/2004,2703,BWI,0,4,ontime
1300,CO,EWR,199,1/1/2004,808,DCA,0,4,ontime
1730,CO,EWR,199,1/1/2004,814,DCA,0,4,ontime
840,DH,EWR,213,1/1/2004,7299,IAD,0,4,ontime
1710,DH,EWR,213,1/1/2004,7302,IAD,0,4,ontime
1245,DH,EWR,213,1/1/2004,7303,IAD,0,4,ontime
2120,DH,EWR,213,1/1/2004,7304,IAD,0,4,ontime
1700,RU,EWR,213,1/1/2004,2497,IAD,0,4,ontime
1900,RU,EWR,213,1/1/2004,2385,IAD,0,4,ontime
1525,RU,EWR,199,1/1/2004,2261,DCA,0,4,ontime
1900,RU,EWR,199,1/1/2004,2336,DCA,0,4,ontime
1400,RU,EWR,199,1/1/2004,2216,DCA,0,4,ontime
1515,RU,EWR,213,1/1/2004,2156,IAD,0,4,ontime
1300,RU,EWR,213,1/1/2004,2664,IAD,0,4,ontime
1630,RU,EWR,199,1/1/2004,2181,DCA,0,4,ontime
1455,OH,JFK,184,2/1/2004,5935,BWI,0,5,ontime
1640,DH,JFK,213,2/1/2004,6155,DCA,0,5,ontime
1245,DH,LGA,229,2/1/2004,7208,IAD,0,5,ontime
1455,DH,LGA,229,2/1/2004,7211,IAD,0,5,delayed
1715,DH,LGA,229,2/1/2004,7215,IAD,0,5,ontime
640,DH,LGA,229,2/1/2004,7790,IAD,0,5,ontime
1039,DH,LGA,229,2/1/2004,7792,IAD,0,5,delayed
840,DH,JFK,228,2/1/2004,7800,IAD,0,5,ontime
1240,DH,JFK,228,2/1/2004,7806,IAD,0,5,ontime
1455,DH,JFK,228,2/1/2004,7808,IAD,0,5,ontime
1645,DH,JFK,228,2/1/2004,7810,IAD,0,5,ontime
1715,DH,JFK,228,2/1/2004,7812,IAD,0,5,ontime
2120,DH,JFK,228,2/1/2004,7814,IAD,0,5,delayed
1610,DH,JFK,228,2/1/2004,7816,IAD,0,5,ontime
2120,DH,LGA,229,2/1/2004,7924,IAD,0,5,ontime
1455,DL,JFK,213,2/1/2004,746,DCA,0,5,ontime
930,DL,LGA,214,2/1/2004,1746,DCA,0,5,ontime
1230,DL,LGA,214,2/1/2004,1752,DCA,0,5,ontime
1430,DL,LGA,214,2/1/2004,1756,DCA,0,5,ontime
1730,DL,LGA,214,2/1/2004,1762,DCA,0,5,ontime
2030,DL,LGA,214,2/1/2004,1768,DCA,0,5,ontime
1530,MQ,JFK,213,2/1/2004,4752,DCA,0,5,ontime
600,MQ,JFK,213,2/1/2004,4760,DCA,0,5,ontime
1830,MQ,JFK,213,2/1/2004,4784,DCA,0,5,ontime
900,MQ,LGA,214,2/1/2004,4956,DCA,0,5,ontime
1100,MQ,LGA,214,2/1/2004,4960,DCA,0,5,ontime
1300,MQ,LGA,214,2/1/2004,4964,DCA,0,5,ontime
1400,MQ,LGA,214,2/1/2004,4966,DCA,0,5,ontime
1500,MQ,LGA,214,2/1/2004,4968,DCA,0,5,ontime
850,UA,LGA,229,2/1/2004,846,IAD,0,5,ontime
700,US,LGA,214,2/1/2004,2160,DCA,0,5,ontime
900,US,LGA,214,2/1/2004,2164,DCA,0,5,ontime
1100,US,LGA,214,2/1/2004,2168,DCA,0,5,ontime
1300,US,LGA,214,2/1/2004,2172,DCA,0,5,ontime
1500,US,LGA,214,2/1/2004,2176,DCA,0,5,ontime
1700,US,LGA,214,2/1/2004,2180,DCA,0,5,ontime
1900,US,LGA,214,2/1/2004,2184,DCA,0,5,ontime
2100,US,LGA,214,2/1/2004,2188,DCA,0,5,ontime
1720,RU,EWR,169,2/1/2004,2675,BWI,0,5,ontime
1030,RU,EWR,169,2/1/2004,2303,BWI,0,5,ontime
700,RU,EWR,169,2/1/2004,2703,BWI,0,5,ontime
1455,RU,EWR,169,2/1/2004,2403,BWI,0,5,ontime
1730,CO,EWR,199,2/1/2004,814,DCA,0,5,ontime
1300,CO,EWR,199,2/1/2004,808,DCA,0,5,ontime
759,CO,EWR,199,2/1/2004,806,DCA,0,5,ontime
840,DH,EWR,213,2/1/2004,7299,IAD,0,5,ontime
1245,DH,EWR,213,2/1/2004,7303,IAD,0,5,delayed
1430,DH,EWR,213,2/1/2004,7307,IAD,0,5,delayed
630,DH,EWR,213,2/1/2004,7371,IAD,0,5,ontime
1630,RU,EWR,199,2/1/2004,2181,DCA,0,5,ontime
700,RU,EWR,213,2/1/2004,2855,IAD,0,5,ontime
900,RU,EWR,199,2/1/2004,2582,DCA,0,5,ontime
700,RU,EWR,199,2/1/2004,2761,DCA,0,5,ontime
